,Image,Accuracy,F1,Jaccard,Recall,Precision
154,pexels-photo-225600_0,0.99676513671875,0.9950448186800988,0.990138502866579,0.9947309390845153,0.9953588964227262
155,pexels-photo-225896_0,0.9132461547851562,0.9462023220385493,0.8978975203940073,0.9087831543743099,0.9868352881384367
156,pexels-photo-226273_0,0.9956855773925781,0.9401745569955038,0.8871032142144141,0.9697730248799651,0.9123293296376143
157,pexels-photo-235127_0,0.95941162109375,0.9082584628119127,0.8319354278222686,0.8593408386359929,0.9630814803978935
158,pexels-photo-235444_QuAkTRxqz5_0,0.9960060119628906,0.9964313590489078,0.9928880979228083,0.9958509333696689,0.9970124617179027
159,pexels-photo-235469_0,0.960845947265625,0.9228989513536251,0.856835997433537,0.8666882997784957,0.986906578841674
160,pexels-photo-235474_0,0.9910621643066406,0.9846717477347813,0.9698063119370095,0.9886624889974908,0.9807130942452044
161,pexels-photo-235514_0,0.9954681396484375,0.9915358089429736,0.9832137003334652,0.9901953808717431,0.992879871010088
162,pexels-photo-235574_0,0.9902534484863281,0.9812893162361866,0.9632659516347011,0.9893093926730948,0.9733982275170711
163,pexels-photo-235837_0,0.9987068176269531,0.981672703681678,0.964005096623487,0.9766566265060241,0.9867405716769916
164,pexels-photo-235922_0,0.9961967468261719,0.983254110889027,0.9670598341427958,0.9814901750385622,0.9850243984519603
165,pexels-photo-236220_0,0.9564285278320312,0.9687571802137925,0.9394074427734013,0.9583658050829112,0.979376368825078
166,pexels-photo-237593_0,0.98046875,0.9427113637380835,0.8916310375481522,0.9058770401909554,0.9826681284844526
167,pexels-photo-237738_0,0.9850006103515625,0.9168112385224051,0.846400250009766,0.9823185383325022,0.8594946249355389
168,pexels-photo-239604_0,0.9870452880859375,0.9934080268337565,0.9869023927430925,0.9922562382457297,0.994562492469499
169,pexels-photo-240177_0,0.9959640502929688,0.971916971916972,0.9453681710213777,0.9916585418697866,0.9529460753695607
170,pexels-photo-240513_0,0.9980735778808594,0.9622937355334876,0.9273276730464816,0.9594997022036926,0.965104088662573
171,pexels-photo-245241_nqhmPJpFTU_0,0.99322509765625,0.9765686843632909,0.9542102820605373,0.9693556836039812,0.9838898341131433
172,pexels-photo-247202_0,0.9825401306152344,0.9688136655696599,0.9395136778115502,0.9575330657543841,0.9803632251747866
173,pexels-photo-247204_0,0.9787406921386719,0.9888452770066192,0.9779366644100542,0.9995103969830743,0.978405355091694
174,pexels-photo-247885_0,0.9923820495605469,0.9948977115073596,0.9898472253997306,0.9985127289884506,0.9913087752348464
175,pexels-photo-247917_0,0.9939956665039062,0.995409338816461,0.9908606333685592,0.9966068831798351,0.9942146689893441
176,pexels-photo-248023_0,0.9927177429199219,0.9654398319966689,0.9331886746228958,0.9847472024227204,0.946875
177,pexels-photo-249100_0,0.9946975708007812,0.9854572086210504,0.9713313395895637,0.9931254085742603,0.9779065179924832
178,pexels-photo-249613_0,0.9875984191894531,0.9883731326736073,0.9770135260303611,0.9960785444479686,0.9807860200018454
179,pexels-photo-249757_0,0.9972114562988281,0.9982772801293336,0.9965604855785065,0.9985761500417254,0.9979785890645909
180,pexels-photo-255311_0,0.5314445495605469,0.6725913289173807,0.5066949942166816,0.5067214504034476,0.9998969693127061
181,pexels-photo-257283_0,0.9742393493652344,0.9791282255746461,0.9591099000908265,0.9905074570865773,0.968007480199472
182,pexels-photo-257357_0,0.9957542419433594,0.9951304454351755,0.9903080861735662,0.993865084289547,0.9963990327328801
183,pexels-photo-258641_0,0.9868621826171875,0.989093396501273,0.9784221342288607,0.9979678173847472,0.9803754159080922
184,pexels-photo-259806_0,0.9847068786621094,0.9750216512252414,0.9512607289615095,0.9662142971808202,0.9839910460524661
185,pexels-photo-260175_0,0.9916801452636719,0.993883268875346,0.9878409116250028,0.9988556546444637,0.9889601437748717
186,pexels-photo-26138_0,0.9956436157226562,0.9934742111338415,0.9870330418984898,0.988346048457699,0.9986558676546614
187,pexels-photo-262172_0,0.9918060302734375,0.9928249323579517,0.9857520944023243,0.9979451640846915,0.9877569739387051
188,pexels-photo-262214_0,0.989990234375,0.9920847988320253,0.9842939144904201,0.9850427094439985,0.9992283012906206
189,pexels-photo-264165_0,0.9806022644042969,0.9865373261567708,0.9734323242667112,0.9769594194235136,0.9963048918739706
190,pexels-photo-264216_0,0.9775047302246094,0.9881321582888734,0.9765427040530166,0.9817562325540474,0.9945914411074784
191,pexels-photo-265720_hIUI3020WU_0,0.9909782409667969,0.9854189658255086,0.9712570338231183,0.9796268601828925,0.9912799712226646
192,pexels-photo-265819_0,0.9549522399902344,0.9490501645978677,0.9030404046209553,0.9793679486380353,0.9205530817904851
193,pexels-photo-267447_0,0.8629188537597656,0.9264159327371798,0.8629188537597656,0.8629188537597656,1.0
194,pexels-photo-267751_nvo8tdciLn_0,0.9966659545898438,0.9946575057764954,0.9893717926891553,0.9956678170203392,0.9936492427943332
195,pexels-photo-267778_0,0.9938583374023438,0.9921982516330368,0.9845172954311596,0.9879279731346741,0.9965056066033328
196,pexels-photo-268004_0,0.9948310852050781,0.9856827379254234,0.9717696570690445,0.9841748781465617,0.9871952251947173
197,pexels-photo-268791_0,0.9944496154785156,0.9840773044134866,0.9686537260055583,0.9884365107281041,0.9797563792464753
198,pexels-photo-269393_0,0.995452880859375,0.9929850166547004,0.9860677676870391,0.9919342512139775,0.9940380106278941
199,pexels-photo-270789_0,0.9920616149902344,0.9909306835763003,0.9820243936148159,0.992760836913619,0.9891072655930537
200,pexels-photo-270856_0,0.9818572998046875,0.9879280761069316,0.9761441383599847,0.9907849586086814,0.9850876216123187
201,pexels-photo-270968_0,0.9710769653320312,0.9599991558777289,0.9230753622012093,0.9377267480211082,0.9833553100884114
202,pexels-photo-271821_0,0.9840888977050781,0.991980650507482,0.9840888977050781,0.9840888977050781,1.0
203,pexels-photo-274078_0,0.9676094055175781,0.9517164514349726,0.9078807472823139,0.9957638715358346,0.9114008146550785
204,pexels-photo-274643_0,0.992401123046875,0.995018904158915,0.9900871849994028,0.993791301828644,0.996249543085189
205,pexels-photo-275583_0,0.9893836975097656,0.9848168253362065,0.970087812637711,0.991159772020953,0.9785545460459266
206,pexels-photo-276080_0,0.9945259094238281,0.9941225860621327,0.988313856427379,0.997607911155683,0.9906615294194475
207,pexels-photo-277062_0,0.8918876647949219,0.8872587824855498,0.7973630962169582,0.9486300495921197,0.8333457876881231
208,pexels-photo-284006_0,0.9918136596679688,0.9913186999894821,0.9827868326488707,0.9952077715325384,0.9874599055463322
209,pexels-photo-285977_0,0.9975662231445312,0.994778794376156,0.9896118275367982,0.9951045401706043,0.9944532617765924
210,pexels-photo-300849_0,0.9578323364257812,0.6599606250769042,0.4924934576006611,0.9876622778749655,0.49554210745137894
211,pexels-photo-300968_0,0.9970779418945312,0.9970410086838284,0.9940994769640807,0.9974802711413754,0.9966021329338265
212,pexels-photo-301279_0,0.995361328125,0.9941183868128041,0.9883055558226984,0.9944454658938058,0.9937915228176042
213,pexels-photo-301342_0,0.9915847778320312,0.979139085372773,0.9591307408711117,0.9852322682550859,0.9731208059998873
214,pexels-photo-302053_0,0.9914665222167969,0.9771862730100453,0.9553902604395166,0.9885278035695862,0.9661020367009477
215,pexels-photo-304648_0,0.9961585998535156,0.9924092235095469,0.9849328186252506,0.998240905024036,0.9866452831319884
